60	1235	1227
36	1667	1659
22	1003	561
46	4020	1462
42	3659	1809
46	1850	542
34	3423	651
49	3300	1622
33	1598	1409
30	1808	1336
41	549	1795
39	2355	693
49	1380	1144
50	2824	1000
38	820	554
49	2951	1221
46	4887	690
59	3568	1204
44	1630	1046
22	637	1457
40	1766	802
32	4980	1722
37	4648	1354
33	2552	1409
54	861	907
54	3458	1532
23	4495	1319
36	1233	775
29	1721	955
58	4971	1817
47	4118	813
57	3262	1190
46	1358	1090
57	1789	1127
51	2195	1895
45	3803	1319
38	1853	524
43	1642	1761
54	2001	899
45	1504	1358
43	1433	1829
58	733	796
50	1646	660
37	2396	1739
60	2724	1213
40	2029	1514
30	2015	655
26	2346	1485
32	680	1445
40	3233	1054
22	2281	958
59	4357	1016
36	4212	1876
51	803	1287
20	3178	1158
52	1863	869
27	1140	1798
26	4918	663
22	2444	664
58	4637	1068
22	3994	1584
25	2393	756
23	1339	1883
58	4006	1126
53	3085	1520
56	1349	927
43	1834	1975
46	526	1569
32	4097	1108
35	2897	1938
48	4936	1880
54	3999	1439
47	3061	1286
39	664	1416
45	2197	1656
30	4740	1999
30	1340	609
44	2288	870
33	2492	530
52	1670	918
23	3111	1040
42	4013	882
60	2260	978
44	2431	1863
39	4680	740
25	3529	573
39	1846	1690
36	4008	572
38	3726	743
35	3452	1407
52	4368	1988
24	3130	1457
56	3093	1097
51	3062	1759
55	3988	1694
44	2039	1795
39	2261	1587
38	4720	713
35	1135	1615
